id,name,genre,popularity
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,trap-queen,80
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,"trap-boricua,trap-latino,urbano-latino",82
3IJ21966TwNZI24MwZHMu4,Baby Tate,trap-queen,67
3JsHnjpbhX4SnySpvpa9DK,V,"j-division,korean-ost",83
3L6bhGrHegoci41Jx2nP0V,Bump J,chicago-rap,45
3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,bronx-drill,75
3MdXrJWsbVzdn6fe5JYkSQ,Latto,trap-queen,80
3Me35AWHCGqW4sZ7bWWJt1,Xavi,sad-sierreno,78
3Nipsl6GVwwGyeAk0J29C6,MC G15,"funk-carioca,funk-mtg,funk-ostentacao,funk-paulista",68
3PhoLpVuITZKcymswpck5b,Elton John,"glam-rock,mellow-gold,piano-rock,rock",84
3SozjO3Lat463tQICI9LcE,Tyla,,77
3TVXtAsR1Inumwj472S9r4,Drake,"canadian-hip-hop,canadian-pop,hip-hop,pop-rap,rap",96
3UTF2no3muGdiFXVujl94i,Kapo,,80
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,"australian-pop,pop,viral-pop",79
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"british-invasion,classic-rock,merseybeat,psychedelic-rock,rock",86
3ZooCJzNMTLpmJaIRUEorI,Young Dro,"atl-hip-hop,crunk,dirty-south-rap,futuristic-swag,old-school-atlanta-hip-hop,southern-hip-hop,trap",53
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,afrobeats,78
3bO19AOone0ubCsfDXDtYt,Myles Smith,singer-songwriter-pop,79
3eVa5w3URK5duf6eyVDbu9,ROSÉ,k-pop,84
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,"heartland-rock,mellow-gold,permanent-wave,rock,singer-songwriter",79
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"r&b,soul",86
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago-drill,chicago-rap,drill,hip-hop,pop-rap,rap,trap",82
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,"atl-hip-hop,dance-pop,dirty-south-rap,hip-hop,old-school-atlanta-hip-hop,pop-rap,rap,southern-hip-hop,trap",79
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,corrido,87
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,"colombian-pop,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",79
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,"baroque-pop,classic-rock,folk-rock,mellow-gold,psychedelic-rock,rock,singer-songwriter,sunshine-pop",73
3pQ4aA7dkolyjUAMrVScgh,Manan Bhardwaj,"desi-pop,modern-bollywood",64
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,"pluggnb,rage-rap",84
3qsKSpcV3ncke3hw52JSMB,Young Miko,"trap-latino,urbano-latino",80
