spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,1oSPZhvZMIrWW5I41kPkkY,1,3,49,,2024-07-24,89,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2,-1,-1,,2024-07-24,99,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,3,-1,-1,,2024-07-24,99,True,175459,Espresso,2024-04-12,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,4,-1,-1,,2024-07-24,98,True,186365,Please Please Please,2024-06-06,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,5,0,-1,,2024-07-24,97,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4
6XjDF6nds4DE2BBbagZol6,Gata Only,"FloyyMenor, Cris Mj","7CvTknweLr9feJtRGrpDBy, 1Yj5Xey7kTwvZla8sqdsdE",6,0,-1,,2024-07-24,96,True,222000,Gata Only,2024-02-02,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,7GlBOeep6PqTfFi59PTUUN,7,0,-1,,2024-07-24,95,False,218423,"Good Luck, Babe!",2024-04-05,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,790FomKkXshlbRYZFtlgla,8,0,-1,,2024-07-24,94,False,195824,Si Antes Te Hubiera Conocido,2024-06-21,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,22wbnEMDvgVIAGdFeek6ET,9,0,0,,2024-07-24,91,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,10,0,-2,,2024-07-24,95,False,155151,MILLION DOLLAR BABY,2024-04-26,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,3y2cIKLjiOlp1Np37WiUdH,11,0,-1,,2024-07-24,88,True,171291,"Where I've Been, Isn't Where I'm Going",2024-05-31,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,4
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult","5MraexJKZDrQYzS98kNwie, 6tzRZ39aZlNqlUzQlkuhDV, 1QsdzIKkTT5gDFj8GB1cIX",12,0,2,,2024-07-24,89,False,161655,Alibi (with Pabllo Vittar & Yseult),2024-06-28,0.741,0.754,11,-5.412,0,0.0327,0.00526,8.21e-06,0.125,0.717,126.98,4
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,2FXC3k01G6Gw61bmprjgqS,13,0,-2,,2024-07-24,89,False,251424,Unreal Unearth: Unheard,2024-03-22,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
